Username,Comment,Target
firdausazizi ,tetapi yg dapat hidayah cuma sedikit,0
mandorcobberr ,pak pendidikan rendah tidak masalah asal tidak pemikirannya yang rendah🤣🤣🤣,1
wosart ,katanya pendidikan lbh baik tp kalah kok ngamuk?,0
ko_ko5u91 ,Faktanya anis tukang ngibul,0
user2007338533259 ,kesimpulannya Anis kalah ya kan? jgn marah ya?,1
aisahaja44 ,yang kosong 02 kurang pendidikannyaa ..kan pendukung Anis dari pikiran turun ke hati ...hanya orang pintar dukung pa Anis.,0
dewankoro Kingking ,yg menyebab kan pendidikan rendah ya pemimpin yg anda ada d dalam nya,1
𝗛𝗢𝗟𝗬𝗧𝗘𝗔𝗥𝗦 ,"dan faktanya 20%dr 24%itu bukan krn visi misi anis, tp krn benci jokowi",0
MULYONO ,rendah tpi ga ngibul....ga banyak ngomong muter muter....buat apa lu pintar tapi pintar boongin,0
@taraulin ,"😁 Alhamdulillah Indonesia Saat ini Aman Damai dan Baik-baik saja.
KASIHAAN @Anies Rasyid Baswedan SAAT INI DIA ANIES SEDANG TIDAK BAIK-BAIK SAJA. 😁",0
asih ,"pendidikan baik itu yg bicaranya bisa mbulet dan bisa waton ngeyel ya pak? maaf pak, menurut saya justru pendukung 01 seperti manusia yg baru keluar dari gua.💝✌️✌️💝",0
user9959181997375 ,maksunya pendidikan rendah itu bukan masalah sakolah.tapi pendidikan masalah aqidah ...mungkin itu ya....,1
Androidf.   vcncgjjj ,salah bos...masalahnya Anis menggunakan doktrin agama ....wkwkwkwkw,0
Dju Sinaga ,"Makin ngawur ini kawan,,, banyak juga pemilih Prabowo dengan Pendidikan >S1. Jangan maksa kesimpulan",1
Nutrition Jogja ,makanya hrus jd presiden biar rakyat pintar,0
maz_antho0 ,semua tergantung pola pikir individunya,1
yyyaaayyaa ,Klo Anies Presiden InsyaaAllah pendidikan akan lebih baik dan tidak ada lagi yg pendidikan rendah🥰,0
p i t h e r ,"Bukan karena pendidikannya baik, tapi karena sentimen agama, coba aja check🤣🤣🤣",0
iramasuarahati ,Anies ingin mencerdaskan bangsa sedangkan ada yg sengaja melanggengkan kemiskinan dan kebodohan utk mempertahankan kekuasaan,1
rustanti34 ,saya sependapat tp banyak orang punya ijazah tinggi blm tentu cerdas...saya yng pendidikan biasa biasa tau klau pak Anies tetap yng terbaik,1
Reza Aditya Zein ,"pendidikan emang perlu, tapi yg terpenting cerdas melihat, dan menilai keputusan,",1
Eroi Venerdy ,Saya rasa pola pikirnya bukan pendidikannya krn bnyk kok pendidikan rendah tp mrk paham maksudnya krn mrk mau berfikir maju& berjuang,1
Siti Jumainah211 ,mau cerdas tdk hrs berpendidikan tinggi,1
yayan s ,"orang yg kurang berpikir panjang , di kasih uang 5rb , langsung coblos😂",1
surya piola ,"kecerdasan intelektual masih kalah dengan kecerdasan sikap , itulah yg ada di Anies .",0
Eli ,"makanya pemimpin itu cerminan dr yg dipimpin, pemilih cerdas berati pemimpinnya cerdas, pemilih yg tdk berpendidikan maka pemimpinnya tdk akan berkualitas, itulah yg terjadi di begri konoha ini",1
am3103aja ,@am3103aja:berpendidikan baik beda dgn yg sekolahnya tinggi..fakta yg sekolah tinggi tunduk ama Gibran😂 ini masalahnya😂😎,0
jayoez ,ini ni yang membuat suara pak Anis rendah 😁,0
ORG KALBAR69 ,klw bgtu seiring sjln apa yg dikatakan kn pk ridwan kamil...,1
sitis ,oleh karena itu kita cari pemimpin yg cerdas.. ..supaya di hargai.di mata dunia...klo pemimpin planga plogo ya sama aja kayak rakyat biasa,1
@marcosadewomangkuwanitalimo ,"gimana nggak gitu, la wong uang rakyat di koropsi terus,sama gerombolan Lo, gimana bisa sekolah",1
jokoriyanto ,tp rakyat yg berpendidikanya rendah klu tau salah dia g berani melannggar..lain yg berpendidikan tau salah tp dia langgar...itu fakta...😁😂,1
wong cilik 🇲🇨 ,ya... apalagi ada yg takut bantuan BLT dan PKH di cabut,1
ksrevag24 ,terbukti dgn liat berita kemarin di channel CNN pemilih 02 40% kalangan pendidikan SD dan 42% kalangan pendidikan SMP tp gpp sah2 aja🙏,0
Teknisi Freeyork ,S1 jurusan cikampek tgpriok..,0
SASTRO Jr ,"Yg ku heran, sdh tahu pendukungnya ANIS org2 PINTER. tP kok kampanyenya melibatkan MALAIKAT, SURGA dan NERAKA. org CERDAS pasti paham Rekam Jejak ANIS",0
AWANG_88 ,"pemilu hanyalah tipu tipu,supaya rakyat terdiam seolah""jurdil,,di belakang tersebung kecurangan, mungkin dari jaman ke jaman begitu terus dan terus,",0
deviaja028 ,aetinya pemilih wowo di bawah standar pola fikirnya,0
khairil imami ,"berarti yg berpendidikan baik gampang dikibuli dgn omon2, yg jelas2 gak bisa kerja..😂😂",0
D'Inay ,"makanya yg g pilih pak anis, mereka sdh suka bgt dg penddkn pembodohan kpd rakyat",0
hendri yatin ,"kadang latar belakang tinggi pendidikan, sukanya bohong",1
𝗣𝗿𝗼𝗱𝘂𝗸 𝗥𝗲𝗷𝗮𝗻𝗴 ,karna org menengah kebawah ke framing fitnah buzzer. itu yg saya temui banyak dilapangan,1
sayang ,masalahnya adalah keserakahan,1
Volmarx ID ,"bukan di latar pendidikan masalahnya, tapi ada pada literasi politik.. pas nyoblos caleg literasi politik saya kurang makannya asal coblos aja 😂",1
fan ,Rakyat umumnya suka dibohongi ijazah pslsu,0
Zahra ,"betul bang ,, org2ndgn pemikiran menengah kebawah mana masuk , hanya org2 cerdas yg berpendidikan menengah keatas yg bisa masuk",0
Koleksiadi17 ,dulu bung Karno membuat gerakan buta huruf skrang Anies ingin mencerdaskan kehidupan bangsa,1
h_donny234 ,Anis baswedan presiden,0
ibundaapitnov ,"Banyak yg cinta buta doang ga mikir dan mempertimbangkan a,b,c,d",1
inayahhhh25 ,Setuju sih.. pasarnya 02 tuhh org2 desa yg belum melek politik n sosmed,0
property Depok ,klo mu nyapres itu ga Perlu pintar yg penting banyak duit sama bisa joget itu aja cukup ko 70% masarakat ga ngeti gagasan 😂,0
makcint ,yesss hanya orang2 cerdas yg milih amin,0
Fathimah Bersaudara ,"ia org yg mau berfikir dikit aja, nda perlu pendidikan baik, pasti nda akan mau di sogok2",1
VHL ,"Track record terbaik di Pemilu adalah Desak Anies, keren 👍🏼",1
giri farizka ,bener kata pak RK,1
heruyana8 ,analismu sudah tumpul karena dipengaruhi keinginan untuk menenangkan anis.,0
iyaaa ,amplop lah yg membuat orang mudah mengerti...,0
Ay bubun ,ciri ciri penjilat,0
moms maliq890 ,"apa yang dikatakan Anies soal angin, sumur resapan,jadi bahan hujatan karena mereka gak nyampe pemikiran nya😁",1
Emhades_6571 ,"mksh ats pencerahannya, br ngerti rupana ad korelasi dgn pendidikan",1
bangyoss ,"sdabtasi dgn tuntutan jaman yg maju dan moderen,ini era ilmu pengetahuan,semua krn pak jokowi",0
Rhenie ,pokoknya yg pilih 01 org cerdas,0
🔺✨4rni4rdi✨🔻 ,Isi amplop lebih manjur Raup suara dr pada isi kepala😂,0
bangyoss ,"80%rakyat sdh dewasa dan matang pemikirannya cerdas bijaksana rendah hati mampu belajar dari pengalaman dari waktu kewaktu,dan dari youtube,mampu bera",0
"M,JADIDMACHFUDZ ","betul,,,dan siapapun yg mimpin dinegeri ini hrs peduli jangan dimanfaatkan untuk politik baru bisa maju negeri ini",1
Hudiyah24 ,terlalu memelihara ocehan RG yg penuh caci maki dn terlalu mnjual surga neraka,0
mamita ,"Betul bgttt ini jg prediksi sy ,, maka y yg pend rendah lebih memilih yg bahasa y mudah dicerna dan program sesaat buat mereka lbih bagus",1
ibialin ,"tugas pemerintah seharusnya agar SDM rakyat Indonesia TDK rendah bkn malah semakin d rendahkan dengan iming"" yg hanya cukup untuk sekedarnya",1
Lamsyah ,"Reell di lapangan, pndukung 02 itu lebih bnyk hanya mampu bli beras 2kg, semntara 01 mampu bli karungan, 😂",0
aisyah ,"maksud nya pendidikan d sini adalah pola pikir sseorang tentang kehidupan bukan hny pendidikan formal , bkn orng2 yg is d bungkam dngn iming2 bantuan",1
SJ sby ,"Kawal terus Real Count, Banyak sekali input data yg tidak sesuai atau penggelembungan Suara ,tetap semngat & Viralkan ! Tenggelamkan Kecurangan.",1
maryamfaisal909 ,maksudnya pemilih 02 mayoritas pendidikan rendah✌,0
Bambang ,INDONESIA DARURAT PEMIMPIN YG MEMPUNYAI ETIKA DAN MORAL SEMOGA ALLAH SWT MELINDUNGI RAKYAT INDONESIA DARI PEMIMPIN YG ZALIM. AAMIIN YRA 🤲🏽🇲🇨,1
wong ndeso elex ,pendidikan rakyat kita masih memperihatinkan,1
syanuyihkat ,pasti mau bilang iq 78 tapi merasa pintarkan🤪😂,1
AbRah ,Buat apa pendidikan Baik kalau nanti yg jadi Wapres saja IPKnya setara 2.3..🤣,1
Niarania ,"ditnya pilih siapa. 02 sih, knp gemoy sih. ditnya sma anak SMP plih siapa 01 knp? krn cerdas sih saat debat bisa mnguasai tema dan pnjlsan nya bgus",1
lim ,fakta berbicara yg memilih anies emang yg pinter 😂😂😂 ....,0
🍒 ,krn bahasanya pak anies itu bahasanya akademisi.....kyk rocky gerung,1
Scoopy Cream ,10 tahun tdk pernah mendengar Bpk jokowi sakit🙏,1
galuh langkar ,"jujur di era presiden pak Jokowi saya ngga pernah dapat bantuan apa pun,tapi saya seneng karna dari BLT banyak lansia di kampung saya dapat",1
🧠 ,"Direndahkan oleh manusia tapi ditinggikan oleh Yang Maha Kuasa
Sehat selalu Pak Presiden Jokowi",0
babyJk🐰 ,bener² pak jokowi setengah hidupnya buat jadi pemimpin😭dari jadi walikota sampe presiden gada jedanya lagi😭,1
user51402866486 ,harus nya pak jokowi jd presiden RI seumur hidup pasti indonesia akan maju dan rakyatnya sejahtera smua betul apa betul,0
feb__ ,"Alasan knpa 02 menang hampir seluruh indo mungkin hanya itu kami berterima kasih lewat anak bapk atas jasa2 pak jokowi slama ini, semoga suatu saat gibran bisa jd presiden yg luar biasa kyk pak jokowi",0
MariaTheTortieCat ,"hanya di era Jokowi bisa ngerasain gelaran Asian Games,Pildun kelompok umur,terus punya MRT sedihnya harus lengser..sehat terus pak",1
Picaaa. — ,jokowi dicintai rakyatnya🥹🖤,1
Kezia84🦂 ,"Baru kali ini Presiden kita slalu mau dirangkul tanganNy sama presiden negara lain.. biasaNy kek org marahan jauh²an 🤭 Masya Allah pak Jokowi sehat² sllu yaa,, Negara lain bangga sama bapa apalagi sy",0
blackcherry ,Pak Jokowi belahan jiwa Indonesia 🔥🔥🔥,0
s ,makasih pak Jokowi udah peduli sama rakyat papua dan udah bangun tol lintas sumatera 😭,1
miaa ,"knpa sih presiden harus di ganti"" 😭 , aku cape nangis karna pa jokowi bentar lagi udh ga jadi presiden",1
Suplementari_ajah ,Kenapa ya pak jokowi gak pernah pakai kaca mata hitam waktu kelapangan,1
Rukiah ,apa alasan aku pilih 02 karena mas gibra anak pak jokowi,1
Scaprilia ,bantuan di era jokowi bener2 banyak🥺,1
JIVA CHATURBHUJ ,"kalau pak wowo gak bisa jadi presiden, maka jadilah bapak 3 periode",0
Agus Indra ,70 persen rakyat mencintai bpk presiden....,0
triismianto Gembus ,yg jelas itu uang mau diputar buat bayar utang negara,0
Muhammad Majreha ,bisa2 nya jokowi bilang gak tahu🤣🤣🤣,0
kakung ,"sudah dipastikan, tidak akan tepat sasaran. pasti jd rumah investasi orang' kaya.",0
Ottow ,"BPJS saja masih simpang siur, pendidikan/kesehatan/infrasruktur belum merata + sembako yang tdk stabil",1
obas ,pengusaha yang mendapatkan pinjaman lunak dari tapera,1
user4853020535645 ,"obyekan korupsi baru.
kok ngak dibenerin dulu birokrasi sama penjahat² di instansinya, malah bikin calon masalah baru lagi aja.",0
Lo_kok_ ilang ,tapera(tambahan penderitaan rakyat)kah?,0
erwin ,aturan di buat karna dah ada rencana tapera,1
Lutfie ,tapera ( target pemerasan rakyat),0
syah ,tapera (tabungan pengusaha rakyat),0
Dunia Kecantikan Yan ✨✨ ,baru ajah dapat kenaikan gaji guru ehh sekrang dapat banyak potongan 🙈,1
Kuliboy ,Gaji honorer aja 3 bulan 900k masih mau d potong 3%..? 😳😳😳😳😳,1
Audrey Manis ,sudah di sahkan lahh ini aja baru di tau knp sdh ada di sah2kan,1
Euis Yohani ,Naah ini sales tapera nih 😂,0
Raymond O ,"Gaji 5juta kena pot. 3% itu 150rb , 10tahun 18juta , pertanyaan gw , inflasi 10tahun lagi 18juta itu cuma dapat kandang babbiiii 🙏",1
Deant ,Ok Gas ok Gas 58℅ Rakyat Setuju Pemerintahan Berkelanjutan beserta kebijakannya. kalau Saya gk setuju.,1
Robby Framoz ,bagi saya gak usah karena dananya sangat besar yang masuk .pajak karyawan udah BPJS udah masa tapera lagi .ini kerja buat keluarga .kasihan mereka.klu mau di potong gajinya 20 juta baru ok.,1
Ning SP ,"jangan lah paaaaak kebutuhan sehari hari aja mahal, terkadang uang yg ada gak cukup pak",1
Nelwati ,Tapera bukan kebutuhan pokok yg wajib adanya,1
ChienKFong 方錦泉 ,lahan baru utk kas oknum,0
ADC ,"Taspen, Asabri, dan sudah bnyk dana² pensiun dikor*p",1
Ocha ,tidak ada sosialisasi tiba2 uu sdh di dahkan..kemana wakil rakyat???,0
jul sah ,bikin kaya org tertinggi,0
pujiningsih7088 ,untuk biaya IKN,0
Sang Alang ,mereka cari bunga bank,1
juniar. ,3% dr gaji.klu di kalkulasi karyawan ind sekitar 150 JT.dlm 1 Bln triliunan.blm LG pajak.tapera tabungan penderitaan rakyat.,1
Denny ,"lg mikirin anak buat masukin kuliah blom kelar,ada lg masalah potongan pekerja,miris banget hidup gw😔",1
quintro1 ,Tapera akan sulit dipastikan outstandingnya cocok/klop….coba tanya kpk dan bpk !,1
YonZ🌸💃 ,Tp utang LN bertambahh,1
DG.ANIS ,gaji untuk pejabat pensiun. ada² sj,1
Mr.Hermawan ,lagi butuh dana utk bangun IKN,0
Bunda ,d potong untuk bayar utang luar negri,0
K-TRII13 ,lah bahan aja udah naik pak apalagi bensi apapa mahal pak,1
Ririn raisa ,uange pasti buat bantu Prabowo yg pusing cari dana makan gratis dr mana,0
Sriningsih08 08 ,uang covid saja tdk di kembalikan semua,1
pakuk 82 ,"pajak pajak pajak lagi,,,adehhhh...katanya dari Freeport udah dpt persentase,dan dikantong udah ada 11.000 T...gmn itu pak de",1
M3GA Skincare ,"gaji sdh di potong BPJS kesehatan, BPJS ketenagakerjaan blm lg pph... ini mau di potong lg, piye toh iki riii😅",1
tengku ,khusus pendukung Jokowi aja ya yg ga dukung ga di potong,0
Kayla ,di BPJS sdh ada tabungan dana pensiun bgmn,1
pakdesalman ,pembiayaan buat pejabat🤣😂,0
Arfiah Syam ,"setuju tak setuju
peraturan tetap berlaku 😯",1
Mohamad Reza Iskandar Shah ,"dipotong tiap bulan, tapi rumahnya bentuknya imajiner 🤣🤣🤣🤣",1
X L San ,"Kalo gaji menteri tak pernah dipotong, yg korban hanya Rakyat saja",1
lim chunhua ,"Kalau Di Singapore Potongan Gaji Nama Nya CPF, Yg Saya Tau Dulu Dari Karyawan 20% Terus Dari Perusahaan 13% .Total 33% ,Itu Uang Nya Menjadi Tabungan Masa Tua Utk Kita. ,Karyawan.",1
Arjunagemoy ,"kalo bpjs ketenagakerjaan kan ada kartunya tuh, jadi kalo di pecat atau resign bisa di ambil. nah ini gimana?",1
Radenpatya ,ko paksa rakyat,1
abang ,di potong untuk kesejahteraan pejabat,0
akhmads ,Uang nya di Kumpulin Negara... Terus Boleh di Pake Negara... buat apa aja Suka - Suka Negara ? ? ? ? ? 🤣😂🤣😂🤣🤣😂🤣🤣,0
bang imam 086 ,peraturan dazzal,0
yudiputra ,"jadi kalo yg udah punya rumah ngak bayar kan pak, soalnya rumah saya sudah ada pak, jadi ngak dipotong dong",0
Alfian Defi ,Rocky Gerung ngakak di pojokan 😅😅😂😂😂🤔🤔,1
edoy Coffee & Baverage ,Tapera kayaknya buat Bayar Hutang Negara yg dipakai IKN....,0
ahmad.ms.212 ,Wowo kan belum jabat,1
cukcuk ,padahal bener loh tabungan buat beli rumah,1
cukcuk ,rumah menteri di IKN tapi,0
anfaka ,hanya mas gibran yg mampu mengatasi semua ini,0
Dessyri🌷 ,Tapera= Tabungan Pemerasan Rakyat😂😂😂,0
kopi-manis ,penyesalan slalu ada di belakang 02,0
selalu_ada ,Rocky Gerung ketawa ngakak.,1
hadiriota ,mantaaap bosss efek makan gratissssss,0
"umy,,82 wati ","kemaren UKT udah reda sekarang potong gaji ,,besok apa lg",1
Arev Alexa ,ujung² nya buat IKN & makan gratis😆,0
Erna Wati Dewi48 ,nyesel banget mana beras mahal bawang mahal .ni lagi ada potongan mana gaji cumn 3juta lagi,1
Good mood ,"Kaum 58% emang mau melanjutkan, yah beginilah jadinya tiap hari akan terasa sangat berat untuk kalangan menengah kebawah",1
boy 007 ,kata anggota DPR memperjuangkan nasib rakyat kalau memang benar seperti itu kenapa tidak diterapkan saja hukuman mati untuk koruptor bener nggak tuh,1
kabul ,"sabar mba itu ambisi lurah
Tapera itu buat nambal ikan",0
ozwie22 ,kebijakan nya muncul setelah pemilu....😂,1
Lina Lina ,bpjs bayar tiap bulan belum yg lain lain trus kalau yg gontrak bayar perbulan trus uang jabis makan aja sebulan satu juta lebih kalau irit,1
Deandra. ,Kerajaan dinasti mang jokower😹,0
#SASUKE UCHIHA🗡️ ,gaji UMK sdh di potong ini itu... sekarang di potong lagi...,1
arkana ,😂😂lah bang kan mrk yg mendukung u melanjutkan,1
kucissikucing ,"betulll dulu juga gitu pas bpjs hanya bisa diambil stelah umur 55,demo baru dibatalinnn",1
user7405659039302 ,bekerja keras untuk menghasilkan uang,1
mas ndro ,"tenang mas itu semua ada hisabnya kelak,,kita masih bsa cari rejeki yg berkah,,,Allah gk tidur,,",1
AnggaPrtma ,Tapera(tabungan pemerasan rakyat),0
Efri Al-Faqir 86 ,tapera tuk menutupi hutang pasca pemilu😅,0
Vandy_Hong ,"hidup kuli bangunan,,tanpa ada potongan 🤭✌️",0
FIAN ,Nyari kerja ajaa susah dapet interview suruh bayar ini ituu malah ada kek gini lagi.. Pindah planet absen yokk🗿🗿,1
Daniel Ady P ,Penguasa di indonesia paling enak dan lepas dr hukum 😂,0
mototrend ,kerjaan 02 tuh,0
Bintang KejoraShop ,aku kerja kena potong'n pajak 5% ech ini m di potong lagi buat apera 😭 saya ga ada gaji pokok pak terus saya bakal terima gaji brapa pak 😭,1
appaaaa ,di suruh pilih pendidikan gratis malah pilih makan siang gratis ya udh jogeti aja okgas ok gassss😂😂😂😂,0
brainstew ,Kok yang diomongin pak anis ini semakin jadi kenyataan semua ya dari angin cuti suami terus ini ??,1
Dika. ,"Bner lgi yg ekonominya ditengah tengah bingung juga kalo mau daftar beasiswa, miskin kagak org kaya pun nggk",1
Rafasstt ,Buset 9 JT jadi 52 jt 😭,1
zidah ,cuma pak Anies yg perduli dgn pendidikan anak anak Indonesia,0
꧁༺❤️iin_woai❤️༻꧂ ,dk usah kuliah ijazahnya beli sja presiden sja beli kok,0
Okta ,Pdhal sangat berharap pak anies memimpin negeri ini agar kami kaum menengah bisa ikut merasakan kebijakan beliau yg jg memikirkan kaum menengah 😭,1
kusna730 ,hanya pak Anies Baswedan yang faham kebutuhan rakyat Indonesia,0
SPAL SPIL ANAK MURCE ,cuma Pak Anies saja yg sampai pemikirannnya pada orang2 yg kelas mengah ke bawah. kalo yg bawah sekalian dpt bnyk bntuan.👍👍👍,0
Fan pro1902 ,gak perlu kuliah pak ijazah gak jelas bisa kok jd kepala 😎😎🤭🤭,0
jendral_jaguar🏅🏅🇮🇩🇮🇩🇮🇩 ,bisa jadi mahasiswa banyak yg pilih pak Anies yg jdi masalah kan permainan angka di sirekap pertanyaan nya bisa gak bongkar permainan angka di sirekap,1
ariexx ,"dan mayoritas pemilih 02 adalah anak2 milenial & gen z , miris tp itu knyataan yg harus dijalan brsama",1
@17ichsan74 ,mareka ketika pmilu tdk mau dgn ide pk Anies,1
sasasy ,pak aniess relate banget kata2 pak anies.. kaum menengah susah dpt bantuan. ini dilema aku dlu saat masih mahasiswa😭,1
Nurima15 ,kemarin di tawarin sekolah gratis ngak mau🤣,0
Nine NY ,"Semoga Pak Prabowo ada solusi yg tidak memberatkan rakyat, Pak Prabowo harus bnr2 ada gebrakan yg luar biasa dr presiden sblm2nya. secara udh 3x nyapres, kita liat hasilnya 🙏🙏🙏",1
Thomasville ,pak Prabowo kan mau melanjutkan,1
YudHa1st ,"emg bener, gw yg dri golongan tengah utk pendidikan empot empotan bgt, ikut program miskin tpi ga miskin, dibilang byk duit jga engga, engap bgt utk pendidikan di golongan tengah itu 😭😭",1
cham ,ini dampak uturan KEmenristek dikti yg berlaku skrg raisio dosen dikepres menjadi 1=20. perlu di evaluasi,1
kemarin ngapain? ,asli. saya full beasiswa riau. tess sih tapi terimakasih pemda riau. tanpa kalian tidak akan ada sejarah baru keluarga kita kuliah d UGM 🙏🏻,1
firar2368 ,pedulinya terhadap pendidikan untuk mencerdaskan bangsa. masyaAllah. barokallah abah anis,1
diroanindita ,"nah ini pas banget, dikira kita kaum tengah² ga bingung apa? jangankan kebutuhan pendidikan, kadang kebutuhan mendasar aja harus fight berdarah darah",1
mpa01 ,udah menjadi pilihan.. makan gratis bukan sekolah gratis,1
adaaja90 ,benar pak anak pns jadi gak kuliah uktnya mahal dan gak boleh dapat beasiswa 😔😔,1
Oppie Can ,Dan akhirnya hanya orang kaya yg bisa JD sarjana 😭😭😭😭,0
jambu merah ,blm lagi listrik 450 dan 900watt mau diganti semua .bayangkan.....,1
no name ,bingung w kudu kasian atau senang... titip salam buat org tua kalian... inilah pilihan kalian yg memilih keberlanjutan program 02... sekali lagi selamat menikmati 5-10-15 tahun kedepan ☺️☺️☺️,1
N451R ,bnr ekonomi mengah k bwh yg susah,1
Tiara Maulidah855 ,gara2 PTNBH ini mah,1
evifatmi465 ,sama saja ukt mahal,1
aliamran1272 ,"Mahasiswa baru sekalipun tidak mempertimbangkan kondisi kemampuan ortu saat ini,kalau utk Nadiem Makarim mungkin cocok karena pengusaha",1
king ,anak tahun 2006 selalu menjadi korban percobaan,0
Ini Aini ,"Nadiem itu pengusaha kok bisa2nya jadi mendikbud, tau kan pengusaha itu carinya apa???",1
Hans Bedy ,katanya Freeport sdh milik kita 60% lebih... koq biaya pendidikan makin mahal ???,1
♤♤s.u.l.i.s♤♤ ,anak baru bakal takut kuliah dan ortu bakal keberatan jika anak memilih kuliah. apa jalan keluarmya pak mentri?,0
ani ,intinya setelah pemilu semua naik efek joget,0
MarQcoB ,"hanya berlaku bagi mahasiswa baru...kalo begitu nanti kalo mhs baru pada mundur karena ndak sanggup krn tingginya biaya ukt, bgmn, pak? 😌",1
Chichaasrin ,"hai pak anak kami baru mau masuk kulia, kalau UKT nya mahal bagai mana, kami ini bukan orang kaya.",1
KUCING.HITAM.ID ,"jadi pointnya adalah pembatasan untuk pendidikan itu nyata, sehingga yang tidak mampu tidak pantas mendapat pendidikan",0
syafagaya ,"justru itu pk Mentri, bagaimana mahasiswa baru mau sekolah klu UKT naik sangaaaaaat mahal.",1
mum03 ,meskipun HANYA...artinya generasi saat ini kedepan akan banyak yg berhenti sampai SMA krn gak bisa kuliah...trus indonesia emas dari mana pak..😭😭😭,1
srihastuti_7944 ,Maba byr UKT tinggi klau ortunya gk mampu ya gk jd kuliah to pak mentriiii,1
Zinnu Rain ,menteri pengusaha ya begini,1
ggrizkiya ,"mau baru mau lama harusnya ga tebang pilih , pemerintah wajib mencerdaskan bangsa",1
Kadep Sakali ,menteri ojol,0
pretty nike ,"aduh bapak....., anak saya th ini mw masuk kuliah 😭😭😭😭. tp kenpa harus naik 100%",0
melati ,"orang miskin dilarang kuliyah,yg kuliyah orang Kya yg banyak uang 😭",0
Maulidiabahri Suho ,pak jokowi .bagai mana mo kuliah sj harus bayar mahal bagaimna anak bangsa mau maju mo sekolah sj Mahal,1
Bill ,"ya trusss kenapaaa?? tinggi tinggi ajaa, mahasiswa baru jugaa punya keterbatasan pembayaran UKT😭😭😭",1
indah novita ,"justru itu, mahasiswa baru jadi bayarnya mahal.gmn sih",1
Cahyo Abimanyu ,program pilihannya bunda ..58%setuju era keberlanjutan....paham kaan,1
Elfi Yanti ,yang kuliah hanya anak pejabat dan pengusaha saja. kami yg miskin tidak boleh kuliah kalau jadi kuli baru boleh😢😭😭,0
aswad76 ,semakin banyak dana APBN untuk pendidikan makin mahal biaya pendidikan,0
Alifdonie_H2aD ,laaah kalo mahasiswa baru suru bayar sebesar itu ya tahun tahun berikutnya ga akan ada yg mendaftar lg karna tau kalo mau masuk itu mahal jadi judulnya ya samaaa ajaaa pak generasi baru ga kuliah😌😔,0
darmiati ,emangnya mahasiswa baru mampu semuanya pak contohnya ia udah keterima undangan di perguruan tinggi tapi orang tuanya cuma pensiunan berapalah gajinya untuk makan ya susahh ditambah UKT nya mahal,1
andi kamillyya waffa ,terus mahasiswa baru itu.... orang yg punya uang semua..... ya,0
mudiiiiii😝😝 ,"saya rasa justru MASALAH nya disitu,akibat beban ukt yang meningkat inilah yang membuat beberapa pihak orang tua tidak sanggup menguliahkan anak nya-",1
garcia ,hanya berlaku untuk mahasiswa baru? HANYA? HANYA? HANYA?!!!! HANYAAAAA!???!!!!,1
Mr Rimba ,"ya sama aja tho bozz, mau yg baru apa yg lama .. UKTnya mahaaaal",1
ikasusanti518 ,mahasiswa yg menjumpai DPR RI juga bilang kan pak..klu mereka memperjuangkan buat adik2 yg mau masuk,1
Babeh Motekar ,yang jadi sorotan / masalah itu UKT nya jadi mahal om mentri,1
Jhony ,berarti yang tamat SMA cukup bermimpi untuk Kuliah..tamat SMA langsung Auto kerja di Indomaret/ alfamart maksud nya di suruh..😂😂😅😅😅😅,0
dewi ,otak bisnis,0
aas ,Mencerdaskan kehidupxn bangsa kaum kaya....😎😎😎😎,0
Seli. krisel🇲🇨🇵🇸 ,"Kuliah mahal, mo nyari kerja susah, trs harus jd pengangguran semua gitu🤔🤔",0
EBO-LD Bin Husein ,negara lain yg ada malah gratis pak,0
Bang Syafri@99 ,Hanya itu yg jdi prtnyaan bos..brarti intinya rkyt indonesia ngga boleh pintr ya nadim😅,0
ᗢ ,"org yg angkatan sebelumnya banyak yg tidak bisa kuliah bahkan putus kuliah karena kendala biaya. skrg malah naik drastis, apa ga makin banyak anak""--",1
AlamLestari ,mohon Program KIP-k benar2 dikawal biar tepat sasaran...karena KIP-k sangat bermanfaat bagi keluarga prasejahtera,1
username ,"katanya kuliah cuma kebutuhan tersier????
😅😅😅",1
HAYNA ,iya itu UKT knp mahal skrng,1
Tohang Waxtap ,mahasiswa baru juga bukan org kaya yg sudah banyak duitnya,1
musi musi ,"g semua mahasiswa baru itu kaya raya pak, 🙏
mohon diperhatikan kembali pak.",1
abdus ,rektor UNRI lagi pargoy,1
akun partai ,"kuliah mahal, sedangkan lapangan pekerjaan masih sedikit! kekmana ini?",1
RF ,"Mhsw lama atau baru kan sama aja, kalau yg lama tgl bbrp smt lg kan kasihan kalau harus terhenti karena biaya. Sedangkan yg baru kan kasihan kalau gagal kuliah karena gak mampu😭😭",1
pip ,Tidak semua mahasiswa baru anak orang kaya pak,1
zen 🍒 ,tapi kan Bapak yg baru masuk sekarang banyak yg berjuang dr kalangan menengah kebawah,1
